day,num,c0,c1,c2,c3,c4,c5,c6,c7
2022-09-30,22113,3,7,9,1,6,7,3,7
2022-09-27,22112,9,8,9,2,0,1,1,1
2022-09-25,22111,0,0,5,0,5,2,0,5
2022-09-23,22110,9,4,7,7,1,0,8,2
2022-09-20,22109,1,9,4,8,0,6,8,4
2022-09-18,22108,2,2,8,5,7,7,2,0
2022-09-16,22107,9,9,6,3,1,4,7,5
2022-09-13,22106,3,5,8,0,0,7,9,3
2022-09-11,22105,3,4,2,3,4,9,4,6
2022-09-09,22104,7,3,9,5,0,1,6,2
2022-09-06,22103,4,2,0,2,0,2,3,2
2022-09-04,22102,1,7,2,5,7,0,5,9
2022-09-02,22101,3,3,7,7,6,9,0,1
2022-08-30,22100,3,0,7,4,2,5,6,6
2022-08-28,22099,9,9,7,9,4,2,0,0
2022-08-26,22098,0,1,6,8,5,4,4,2
2022-08-23,22097,1,5,1,0,5,6,2,1
2022-08-21,22096,3,1,7,8,7,0,6,0
2022-08-19,22095,5,3,5,7,0,1,6,4
2022-08-16,22094,4,4,1,6,3,3,1,4
2022-08-14,22093,9,4,1,7,7,7,4,0
2022-08-12,22092,6,8,7,8,3,7,5,4
2022-08-09,22091,9,1,7,9,2,0,7,9
2022-08-07,22090,2,4,2,4,2,6,2,4
2022-08-05,22089,1,9,8,7,7,3,1,3
2022-08-02,22088,3,6,9,6,2,6,4,6
2022-07-31,22087,2,7,8,0,7,3,9,3
2022-07-29,22086,3,4,6,4,9,6,3,2
2022-07-26,22085,5,5,6,7,7,8,7,0
2022-07-24,22084,3,9,4,2,8,9,2,1
2022-07-22,22083,9,3,9,2,5,4,1,2
2022-07-19,22082,5,9,5,2,9,7,0,8
2022-07-17,22081,8,6,5,2,5,6,2,0
2022-07-15,22080,1,0,3,9,9,8,0,3
2022-07-12,22079,7,9,3,0,5,4,3,6
2022-07-10,22078,1,6,9,4,2,8,8,2
2022-07-08,22077,2,6,5,1,0,3,0,1
2022-07-05,22076,1,1,7,8,5,3,8,5
2022-07-03,22075,0,3,5,3,9,0,8,8
2022-07-01,22074,4,2,9,0,3,1,1,4
2022-06-28,22073,2,8,3,8,3,6,1,3
2022-06-26,22072,6,4,1,3,8,9,3,9
2022-06-24,22071,7,7,1,7,2,6,2,2
2022-06-21,22070,1,1,6,8,6,9,9,5
2022-06-19,22069,2,3,1,3,5,7,0,3
2022-06-17,22068,1,8,3,9,1,6,8,4
2022-06-14,22067,9,3,1,0,5,6,8,3
2022-06-12,22066,1,0,1,2,8,7,2,3
2022-06-10,22065,7,8,4,1,4,4,7,8
2022-06-07,22064,0,6,3,8,3,3,0,7
2022-06-05,22063,3,9,7,1,6,9,2,7
2022-06-03,22062,7,4,2,1,0,3,0,3
2022-05-31,22061,2,6,5,6,5,4,1,3
2022-05-29,22060,9,1,3,1,4,4,9,9
2022-05-27,22059,7,6,1,9,1,4,3,3
2022-05-24,22058,6,4,4,1,7,4,0,4
2022-05-22,22057,5,8,5,6,6,8,9,0
2022-05-20,22056,0,6,5,6,3,5,0,4
2022-05-17,22055,7,3,1,9,4,6,2,3
2022-05-15,22054,0,3,7,3,7,1,9,1
2022-05-13,22053,9,3,5,9,2,0,4,3
2022-05-10,22052,0,7,3,9,1,5,6,1
2022-05-08,22051,0,4,6,8,2,8,8,6
2022-05-06,22050,7,5,5,3,4,2,4,0
2022-05-03,22049,4,4,9,0,1,7,0,5
2022-05-01,22048,7,6,5,3,3,9,4,4
2022-04-29,22047,7,2,9,5,1,6,3,9
2022-04-26,22046,0,4,5,0,1,1,3,8
2022-04-24,22045,5,5,6,0,4,0,9,8
2022-04-22,22044,6,5,0,5,6,9,9,6
2022-04-19,22043,2,6,5,6,5,6,4,2
2022-04-17,22042,1,9,6,4,2,0,1,5
2022-04-15,22041,7,4,2,6,5,1,9,3
2022-04-12,22040,4,2,9,5,8,8,9,0
2022-04-10,22039,5,0,9,3,3,3,6,9
2022-04-08,22038,0,1,9,5,5,7,7,2
2022-04-05,22037,7,9,3,5,0,1,2,3
2022-04-03,22036,6,3,2,1,0,1,6,9
2022-04-01,22035,8,2,9,1,6,5,8,3
2022-03-29,22034,7,0,4,3,0,6,5,9
2022-03-27,22033,1,5,8,3,5,1,1,3
2022-03-25,22032,9,9,3,9,8,2,1,3
2022-03-22,22031,6,7,1,8,0,8,5,7
2022-03-20,22030,3,2,8,4,9,2,5,8
2022-03-18,22029,4,6,1,6,1,3,5,7
2022-03-15,22028,2,1,1,2,8,1,4,5
2022-03-13,22027,4,9,1,1,3,2,3,7
2022-03-11,22026,9,1,6,4,8,1,7,1
2022-03-08,22025,6,6,6,0,4,6,6,3
2022-03-06,22024,1,8,2,6,5,3,5,2
2022-03-04,22023,1,5,1,2,3,7,2,1
2022-03-01,22022,9,4,1,0,4,8,1,2
2022-02-27,22021,0,6,1,3,0,2,9,0
2022-02-25,22020,2,2,6,5,9,5,0,1
2022-02-22,22019,2,8,8,0,6,3,0,6
2022-02-20,22018,4,7,4,9,4,7,3,0
2022-02-18,22017,6,7,0,5,4,9,8,3
2022-02-15,22016,1,6,4,6,5,6,6,9
2022-02-13,22015,0,1,2,8,9,9,1,8
2022-02-11,22014,5,3,1,3,8,2,5,6
2022-02-08,22013,4,5,7,6,6,5,4,8
2022-01-28,22012,8,2,3,1,2,3,8,9
2022-01-25,22011,9,8,0,2,9,2,9,0
2022-01-23,22010,5,1,1,5,8,3,9,0
2022-01-21,22009,3,9,3,5,6,8,4,8
2022-01-18,22008,1,6,2,7,6,5,8,5
2022-01-16,22007,8,6,2,1,9,8,1,7
2022-01-14,22006,8,8,7,5,8,8,0,9
2022-01-11,22005,9,3,9,9,8,5,4,2
2022-01-09,22004,7,9,0,6,2,4,4,1
2022-01-07,22003,5,4,3,5,3,9,7,0
2022-01-04,22002,1,6,6,3,6,8,8,3
2022-01-02,22001,8,3,4,5,6,7,1,4
2021-12-31,21151,6,6,1,3,6,6,1,3
2021-12-28,21150,6,8,8,4,6,3,8,5
2021-12-26,21149,3,7,8,0,8,0,7,9
2021-12-24,21148,0,6,4,0,0,2,4,4
2021-12-21,21147,9,1,6,0,2,7,9,3
2021-12-19,21146,2,0,1,3,8,0,1,1
2021-12-17,21145,6,6,0,7,3,0,2,4
2021-12-14,21144,3,4,7,4,8,3,9,2
2021-12-12,21143,8,8,0,6,4,5,6,0
2021-12-10,21142,9,3,2,0,4,1,1,3
2021-12-07,21141,5,4,0,4,7,0,0,3
2021-12-05,21140,6,9,8,2,7,1,0,7
2021-12-03,21139,3,2,8,3,0,6,0,4
2021-11-30,21138,7,2,3,6,6,6,9,9
2021-11-28,21137,1,5,6,4,6,2,3,1
2021-11-26,21136,7,5,3,2,7,0,5,2
2021-11-23,21135,5,4,3,6,2,3,3,9
2021-11-21,21134,4,2,8,1,3,9,2,8
2021-11-19,21133,1,0,2,7,2,5,1,1
2021-11-16,21132,8,1,0,6,1,2,0,6
2021-11-14,21131,6,1,2,4,9,9,2,6
2021-11-12,21130,0,1,1,5,3,4,5,6
2021-11-09,21129,3,1,8,3,1,1,7,7
2021-11-07,21128,8,7,6,4,1,0,5,9
2021-11-05,21127,6,2,3,2,9,3,4,0
2021-11-02,21126,2,7,8,6,1,9,8,2
2021-10-31,21125,4,0,6,5,3,7,7,1
2021-10-29,21124,4,7,2,4,1,1,3,2
